ID,SENDER_USER_ID,MERCHANT_USER_ID,MERCHANT_ID,DATE_CREATION,COUNTRY_CODE,SAV_GROUP_ID
2996500,577023,577023,140,2018-09-30 14:12:19,fr-fr,0
2996438,6416,577023,140,2018-09-30 13:50:05,fr-fr,0
2996433,6416,577023,140,2018-09-30 13:47:12,fr-fr,0
2996597,6416,20845,19,2018-09-30 14:55:24,fr-fr,1
3007405,384327,20845,19,2018-10-01 16:32:26,fr-fr,1
3016853,20845,20845,19,2018-10-02 14:09:29,fr-fr,1
2998047,20845,20845,19,2018-10-01 06:30:22,fr-fr,1
2996608,6416,20845,19,2018-09-30 15:00:07,fr-fr,1
2998043,20845,20845,19,2018-10-01 06:29:21,fr-fr,1
3002651,612348,612348,147,2018-10-01 11:16:10,es-es,2
2997159,6416,612348,147,2018-09-30 17:55:38,es-es,2
3130306,577023,577023,140,2018-10-16 13:16:49,fr-fr,3
3004859,577023,577023,140,2018-10-01 13:37:52,fr-fr,3
2997568,6416,577023,140,2018-09-30 20:10:05,fr-fr,3
3018269,577023,577023,140,2018-10-02 15:43:35,fr-fr,3
3016805,309341,577023,140,2018-10-02 14:06:04,fr-fr,3
3004776,309341,577023,140,2018-10-01 13:33:19,fr-fr,3
3002784,577023,577023,140,2018-10-01 11:26:00,fr-fr,3
2997562,6416,577023,140,2018-09-30 20:06:13,fr-fr,3
2998214,472,472,3,2018-10-01 07:00:38,fr-fr,4
2999022,6416,476386,125,2018-10-01 08:00:02,fr-fr,5
2999727,476386,476386,125,2018-10-01 08:36:12,fr-fr,5
3207102,476386,476386,125,2018-10-25 07:35:10,fr-fr,5
3204703,6416,476386,125,2018-10-24 16:29:08,fr-fr,5
2999025,6416,476386,125,2018-10-01 08:00:08,fr-fr,5
3003171,1138893,476386,125,2018-10-01 11:54:04,fr-fr,5
3003415,476386,476386,125,2018-10-01 12:08:17,fr-fr,5
3004556,1138916,451060,120,2018-10-01 13:19:40,fr-fr,6
3011439,451060,451060,120,2018-10-02 08:20:58,fr-fr,6
3004236,451060,451060,120,2018-10-01 13:00:15,fr-fr,6
2999158,6416,451060,120,2018-10-01 08:07:55,fr-fr,6
2999665,59874,59874,33,2018-10-01 08:32:01,fr-fr,7
3003176,235752,235752,77,2018-10-01 11:54:18,es-es,8
3000156,6416,235752,77,2018-10-01 09:01:23,es-es,8
3003756,1108219,1108219,238,2018-10-01 12:31:06,fr-fr,9
3004727,26913,26913,26,2018-10-01 13:30:28,es-es,10
3004729,26913,26913,26,2018-10-01 13:30:39,es-es,10
3016845,33720,33720,27,2018-10-02 14:08:48,fr-fr,11
3007766,6416,33720,27,2018-10-01 17:04:02,fr-fr,11
3158914,33720,33720,27,2018-10-19 07:28:54,fr-fr,11
3011511,33720,33720,27,2018-10-02 08:26:04,fr-fr,11
3014750,1137814,33720,27,2018-10-02 11:52:04,fr-fr,11
3156445,6416,33720,27,2018-10-18 17:01:43,fr-fr,11
3008745,577023,577023,140,2018-10-01 18:53:08,fr-fr,12
3008734,6416,577023,140,2018-10-01 18:50:57,fr-fr,12
3008700,6416,577023,140,2018-10-01 18:47:40,fr-fr,12
3008843,6416,577023,140,2018-10-01 19:10:23,fr-fr,13
3009202,577023,577023,140,2018-10-01 19:59:40,fr-fr,13
3012272,46629,46629,30,2018-10-02 09:10:58,es-es,14
3009146,6416,46629,30,2018-10-01 19:51:32,es-es,14
3009243,6416,235752,77,2018-10-01 20:04:37,es-es,15
3010255,235752,235752,77,2018-10-02 06:33:12,es-es,15
3009904,545143,545143,134,2018-10-02 01:34:13,fr-fr,16
3009484,6416,545143,134,2018-10-01 20:44:56,fr-fr,16
3236934,16109,16109,16,2018-10-29 14:51:04,fr-fr,17
3158614,1136826,16109,16,2018-10-19 06:58:11,fr-fr,17
3211197,16109,16109,16,2018-10-25 12:48:46,fr-fr,17
3208202,1136826,16109,16,2018-10-25 08:57:32,fr-fr,17
3027585,16109,16109,16,2018-10-03 14:43:51,fr-fr,17
3158730,1136826,16109,16,2018-10-19 07:13:05,fr-fr,17
3208138,1136826,16109,16,2018-10-25 08:53:11,fr-fr,17
